官译_男名,你的翻译_男名
亚当,志伟
阿尔伯特,建华
亚历山大,伟强
安德鲁,国强
亚瑟,铁军
阿仕顿,俊豪
阿斯彭,浩宇
布莱德利,鹏飞
卡尔,刚毅
塞德里克,正义
查尔斯,振兴
大卫,大勇
德克斯特,德胜
厄尔,永安
爱德华,耀祖
亨利,文杰
霍华德,宏达
伊恩,逸飞
詹姆斯,嘉华
杰洛米,杰明
杰瑞,健军
乔,大鹏
约翰,志刚
拉瑞,永盛
莱顿,立业
毛里斯,茂盛
马格纳斯,猛虎
奥利佛,傲霜
奥斯卡,天明
保罗,宝华
珀西,培根
皮特,太安
普雷斯顿,顺达
雷蒙德,雷霆
理查德,礼文
罗伯特,晓阳
斯蒂芬,大成
斯特林,中华
史蒂夫,高远
特瑞,海峰
汤马斯,挺立
蒂莫西,定国
陶德,怀仁
汤姆,光明
托尼,宇航
特拉维斯,传文
泰勒,泰然
沃尔特,尚德
威廉,文武
温斯顿,文昌
邓顿,敦实
本杰明,秉义
麦克斯韦,凯文
米洛,其乐
卓蒙德,卓远
杰顿,杰豪
布雷特,博学
迪兰,启明
卡姆林,康安
拉尔夫,超群
克雷,魁梧
阿德里安,安康
泰拉,远志
杰弗里,锋利
达米安,达观
比夫,阿强
克里斯托弗,大志
杰罗姆,青松
戴文,晓东
海顿,大洋
悉尼,晨阳
阿奇博尔德,志高
珊农,青山
克里夫,开明
顿斯坦,磐坚
凯兰,凯明
德雷克,子明
奥尔森,圣杰
戴万,万里
布克,书生
默里克,慎行
克雷,奎明
兰道,文武
雷克斯,大华
谢伊,沐阳
丹佛,朝辉
罗伊顿,建明
特拉福德,威武
梅森,茂盛
瑞安,锐志
桑普森,积德
尼格尔,宁和
拉斯蒂,刚正
富兰克林,丰年
菲尔,飞腾
艾略特,子明
格雷戈,瑞安
肯德里克,志刚
强尼,阿伟
曼努埃尔,满盈
