官译_女名,你的翻译_女名
阿曼达,嘉欣
安珀,雅雯
安娜,嘉慧
布赖恩娜,曉雯
布兰妮,詩涵
克里斯蒂娜,欣妍
辛迪,子晴
克莱尔,婉婷
辛西娅,靜怡
丹妮拉,夢瑤
黛安,雨欣
埃里卡,若涵
艾琳,可欣
费利西亚,語嫣
菲奥娜,思穎
加布里埃拉,紫萱
吉赛尔,雅楠
汉娜,佳琪
海伦,欣悅
伊蕾娜,梓涵
伊莎贝尔,詩雨
艾薇,心怡
杰基,雅婷
简,子涵
珍妮特,思敏
吉恩,佳寧
朱莉亚,雨彤
卡伦,若萱
卡塔琳娜,美玲
凯莉,曉燕
拉娜,靜雯
劳拉,子悅
雷伊,欣怡
琳达,雅欣
麦西,詩琪
玛丽,佳敏
梅根,夢潔
南希,若語
妮可,思語
奥利弗,子萌
奥菲利亚,雅詩
宝琳,欣然
菲比,可馨
瑞秋,雨萱
朗达,佳穎
罗斯,悅心
苏菲,若晴
斯泰西,思雅
乌苏拉,梓妍
维尔拉,語彤
莉莉亚,佳怡
埃德娜,曉紅
阿利亚,雅琪
玛利亚,欣瑤
亚历克西斯,子琳
安珀尔,若詩
黛比,美琳
多里斯,詩韻
杰内西斯,夢涵
惠特尼,雅麗
科琳娜,思琴
布列塔尼,佳玲
凯特,子萱
梅西亚,雨晴
马迪,若雨
萨沙,欣穎
兰迪,靜萱
克洛伊,雅琳
安吉丽娜,可怡
玛丽安,梓瑤
伊冯娜,思涵
里安,佳蓉
赛琳娜,雨菲
迪娜,若彤
亚历克西娜,夢雅
杰克林,雅靜
凯莉,子欣
丽芙,詩蕾
帕蒂,佳雪
拉切尔,欣蕾
凯特琳,若曦
林妮,思婷
阿黛尔,梓萌
乔迪恩,雅彤
赛默恩,悅欣
里卡,可璇
马辛,佳妍
海莉,雨琳
丽贝卡,若菲
克莱尔,詩雅
布鲁克,思怡
亚纳,夢婷
里弗,子瑤
亚思敏,雅萌
恩姆,佳盈
珍妮佛,欣桐
杰西卡,若欣
凯莉,詩蓉
耶里,梓靈
伊达,雅寧
